,tweet,language,mentions
0,interesting you mapped it or is it available on some website,en,[]
1,great going,en,[]
2,rt i just launched my first book upgrade your mindset in this book you will learn why mindset is critical to success,en,"[{'screen_name': 'techtello', 'name': 'vinita bansal', 'id': '1186257160314900480'}]"
3,the site seems down,en,[]
4,does a sale or coupons increase a company s business or decrease it,en,[]
5,,hi,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
6,well at some point you have to ask as to whether you own the photos or the photos own you,en,[]
7,with kids you accumulate them fast i keep the videos as playlist easier to play back when you feel nostalgic which is couple times a year,en,[]
8,been always on dropbox original quality for photos and additionally to google photos for quick access dropbox app is too basic and slow for photos for videos been using youtube primarily due to better access streaming have videos as private,en,[]
9,rt today marks months since tweetshelf onboarded nuzzel users it has been an incredible journey with a lot of ups and do,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
10,actually twitter has been doing this type of limited link aggregation for a long time i guess nuzzel integration would be different and perhaps more comprehensive if you are looking for proper link aggregation checkout,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
11,but good writeup highlighting that after a point name is just a name and it matters only that much as long as it is easy to pronounce write not too long not offensive it should be fine i would add ability to own the term to this list which their new name is not,en,[]
12,also doesn t apple already have an app called shortcuts for task automation,en,[]
13,it s good that they decided to change the name clubhouse social app has been a blockbuster app and it is good to avoid confusion but i am not a big fan of too generic names either shortcut is difficult term to own very ambitious for a small company,en,[]
14,beautiful and moving,en,[]
15,great thread on why and how remote work will play out over next decade,en,[]
16,hey pranav just sent you a dm,en,[]
17,hi vishal you might want to try it was launched about a month back and it is very similar available on ios android and web quite a few nuzzel users have already migrated over here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
18,slack disables notifications during off hours by default i missed out on server alerts for tweetshelf last night due to this at the back of my mind i knew about this setting but didn t get around to disable it as a solo developer you can t afford this setting,en,[]
19,rt for all those who miss nuzzel is a viable option also kicked that it is built in by h t,en,"[{'screen_name': 'sajithpai', 'name': 'sajith pai', 'id': '14772209'}, {'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}, {'screen_name': 'ranavikas', 'name': 'vikas rana', 'id': '15677807'}]"
20,pocket app seems to have gone missing from sharing menu on ios after recent os upgrade been wondering about that for a while restarting the phone fixes it,en,[]
21,rt for those interested there s a nuzzel replacement called tweet shelf available on both android,en,"[{'screen_name': 'venkatananth', 'name': 'venkat ananth', 'id': '17145512'}]"
22,thanks venkat for sharing it does not have alerts notifications yet but still early days lot more coming in next few weeks,en,[]
23,hi om miten you might want to try i launched it last month and it is very similar available on ios android and web quite a few nuzzel users have already migrated over here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
24,absolutely haven t got around to create an about page on site yet but ping me if you need anything,en,[]
25,well here i am,en,[]
26,hi judd if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
27,hi david only an app as of now but email newsletter is in the roadmap will update when i get there,en,[]
28,thanks oli for the tryout and the feedback and agree the default view needs improvement this is in progress and do lookout for an update soon,en,[]
29,hi anne if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
30,hi priyanka if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try it does not have newsletter functionality yet but quite a few other features,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
31,hi harry if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
32,thank you fetching friends may take some time due to twitter api rate limiting it should get sorted in few mins you can browse your available stories till then,en,[]
33,hi jaime and wences perhaps you could give a try i launched last month and it is very similar available on ios android and web here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
34,hi jimmie perhaps can be a replacement i launched it last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
35,hi there check out i launched it last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
36,hi charlie if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
37,hey guys if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
38,hi eleanor if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
39,hi joe if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
40,hey andy and chris if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
41,hey yung if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
42,hey adam if you are looking for an alternative to nuzzel i launched last month and it is very similar available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
43,hey arman i launched last month and it is very similar to nuzzel it gives you the news and other content from your twitter network available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
44,hey jordan i launched last month and it is very similar to nuzzel it gives you the news and other content from your twitter network available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
45,hi there i launched last month and it is very similar to nuzzel it gives you the news and other content from your twitter network available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
46,hey nathan i launched last month and it is very similar to nuzzel it gives you the news and other content from your twitter network available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
47,hi eric i launched last month and it is very similar to nuzzel it gives you the news and other content from your twitter network available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
48,hi haseeb i launched last month and it is very similar to nuzzel it gives you the news and other content from your twitter network available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
49,hey casey i launched last month and it is very similar to nuzzel it gives you the news and other content from your twitter network available on ios android and web give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
50,hey craig i launched last month and it is very similar to nuzzel it gives you the news and other content from your twitter network give it a try here are more details,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
51,good to know about your recovery hari,en,[]
52,rt startups disruption and real world,en,"[{'screen_name': 'cnha', 'name': 'ashish sinha', 'id': '51717952'}]"
53,rt the below spreadsheet provides real time information about the status of hospital bed availability and occupancy in benga,en,"[{'screen_name': 'mla_sudhakar', 'name': 'dr sudhakar k', 'id': '742801860914864128'}]"
54,rt india is running out of vaccines us has millions of astra zeneca which it is not using how about a grand humanitarian,en,"[{'screen_name': 'rashmi', 'name': 'rashmi sinha', 'id': '610873'}, {'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}]"
55,yes sir will plan for it soon,en,[]
56,please follow for more updates,en,"[{'screen_name': 'tweetshelfhq', 'name': 'tweetshelf.com', 'id': '1332286781207703553'}]"
57,if you use twitter you ll love tweetshelf looking forward to your love and feedback try now at,en,[]
58,meeting interesting people and better curate who they follow on twitter staying up to date in their industry getting research material for creating their own newsletter finding interesting content to tweet and increase their twitter followers,en,[]
59,here are some ways in which people have been using tweetshelf reading news many have made tweetshelf as their default news app finding new books podcasts and ted talks for learning and self improvement finding reviews and opinion for books,en,[]
60,by people view content of any twitter handle even outside your network by website view content of any particular website or domain like search user powerful search to find what you are looking for,en,[]
61,tweetshelf gives you a wide variety of filters for your content by content type browse your content by categories articles websites books podcasts and videos by lists browse your content by lists you have created on twitter,en,[]
62,all your content is organized under following categories articles news and blogs websites apps tools products books kindle books audiobooks podcasts videos talks and shows,en,[]
63,easier browsing organize tweets with links in your timeline by content type e g articles books podcasts making it easier to consume discover more find the content that you might have missed otherwise in your fast moving feed on twitter,en,[]
64,tweetshelf helps you save time by filtering out low quality tweets and increase your signal to noise ratio see only tweets with some content shared,en,[]
65,signup on the web,en,[]
66,download on android,en,[]
67,download on ios,en,[]
68,it is free to join just install the app connect your twitter account and you are ready to go,en,[]
69,i am very exited to officially launch tweetshelf today after two months of beta trial with users tweetshelf organizes tweets with links in your timeline by content type e g articles books podcasts,en,[]
70,we need a revolution to change the status quo dramatically,en,[]
71,one of the reasons india is still poor decades after independence is that we lack decisive political leadership occasionally right decisions will be taken under modi slightly more right decisions but at this pace it will take decades to become a well oiled machine,en,[]
72,wondering who will be the first to nft this hn comments are always fun,en,[]
73,you need static header only if it contains any important information like cart in e commerce site you do not need it just for navigation,en,[]
74,and while we are at it please get rid of static headers in mobile site it s already cramped and static headers are not helping please i beg you,en,[]
75,if anybody need any convincing only of users ever click on a mobile sharing button,en,[]
76,i don t know who needs to hear it but it is and every mobile browser has sharing buttons so you can skip adding them to your blog website if anybody wants to share your piece of jewel they will do it,en,[]
77,yes but i have found it very hard to follow any advice if i don t understand the rationale behind it having said that agree with overall thought of books needing to be shorter,en,[]
78,using email template,en,[]
79,the performance ad industry is intentionally very obscure with little transparency and whatever data they share is muddled,en,[]
80,there was a good podcast done by freakonomics on this recently this means that doubling the amount of advertising would lead to about a by percent increase in sales,en,[]
81,and ebay earlier their findings suggest that many paid ads generate virtually no increase in sales and even for ones that do the sales benefits are far eclipsed by the cost of the ads themselves,en,[]
82,and p amp g when p amp g turned off million of their digital ad spending they saw no change in business outcomes,en,[]
83,there was this case of uber discovering ad fraud we turned off of our spend we turned off million of annual spend out of and basically saw no change,en,[]
84,big popular brands getting little out of performance spends has been a discovery recently there have been quite a few case studies now,en,[]
85,you have picked the best guests look forward to this,en,[]
86,nasa mars rover landing tonight am ist pretty tough to watch the live stream at that time let s see how it goes watch if you can,en,[]
87,emacs even after years,en,[]
88,as bitcoin crosses k marvel at this hacker news comment typical hn,en,[]
89,i think eventually clubhouse conversations would be recorded and be distributed in somewhat similar fashion to podcasts podcasting would be a subset of clubhouse use case this does not mean that podcasting would die but some use cases would migrate to clubhouse,en,[]
90,the next level of humans are coming amazing,en,[]
91,rt india should support crypto as a pillar of its foreign amp domestic policy it defends national security by preventing deplatfo,en,"[{'screen_name': 'balajis', 'name': 'balaji srinivasan', 'id': '2178012643'}]"
92,great article by making a strong case of bitcoin adoption in india digital is one of the ways for india to bring overall efficiency and pull millions out of poverty as has been shown by upi adoption in last few years,en,"[{'screen_name': 'balajis', 'name': 'balaji srinivasan', 'id': '2178012643'}]"
93,read full article,en,[]
94,having been to michelin star restaurants a couple of times i fully agree with on rich getting scammed it is very hard to enjoy food and almost the entire experience is made to make you feel inferior,en,"[{'screen_name': 'nntaleb', 'name': 'nassim nicholas taleb', 'id': '381289719'}]"
95,i think this discussion on whatsapp signal telegram is not over yet still early stages but long term we may be moving to an open messaging protocol like for email lot of clients to choose from and no centralized gatekeeper a good app gaining ground is,en,[]
96,great read a different approach to talk to people you disagree with,en,[]
97,this is scary one person online can destroy somebody s reputation and it is not easy to find out who,en,[]
98,but this decade holds lot of promise,en,[]
99,technology has stagnated,en,[]
100,there is some uncomfortable truth in this,en,[]
101,some things never change aussie cricketers for example,en,[]
102,fascinating history of the world though indian and chinese influence before ad seems under represented both combined were gt of world gdp for much of time period before that but great chart nonetheless,en,[]
103,iphone x ios safari chrome,it,[]
104,but self driving is not gon na work in india for a long time without it it s a nice old fashioned car,en,[]
105,google search trends show investing is at its second highest peak in the last years apps like are pulling younger investors to equity investment this will continue in coming years,en,"[{'screen_name': 'robinhoodapp', 'name': 'robinhood', 'id': '1265037073'}]"
106,great to see indian startups in top yc companies congrats and hope more in,en,"[{'screen_name': 'meeshoapp', 'name': 'meesho app', 'id': '1451504323389636612'}, {'screen_name': 'razorpay', 'name': 'razorpay', 'id': '2609379660'}, {'screen_name': '_okcredit', 'name': 'okcredit', 'id': '1130406156776615942'}, {'screen_name': 'khatabook', 'name': 'khatabook', 'id': '1120294166116704257'}, {'screen_name': 'cleartax_in', 'name': 'cleartax', 'id': '1409580379279794187'}, {'screen_name': '_groww', 'name': 'groww', 'id': '3571361412'}, {'screen_name': 'gocashfree', 'name': 'cashfree payments', 'id': '4081930334'}]"
107,consistency for consistency s sake is stupid being a user for both the screens i find this a very good design the two use cases are different and in some ways it is a bold decision to not being consistent across screens if it does not make sense,en,[]
108,for the most part it is probably a futile attempt to run away from facebook but this move from whatsapp to signal telegram is more about signaling on privacy than any material impact long term it is better to not have one company control too much and this might help,en,[]
109,mark buying signal isn t gon na happen,en,[]
110,think of somebody s electricity phone connection internet switched off because somebody did not like the content they are posting,en,[]
111,this is a very different kind of action to facebook and twitter banning trump they are top level apps and perhaps are right to boot off people basis content appstore and hosting services are a different deal altogether,en,[]
112,apple google and amazon banning an app based on their own notions of wrong content feels a bit too much they provide utility services and that is not the level this need to be dealt with,en,[]
113,how to answer a why question by richard feynman,en,[]
114,openai just launched an ai that generates images from text prompt just like gpt generated text from prompt incredible they named it dall e in honor of artist salvador dali and pixar s wall e,en,[]
115,software just doesn t age well as our system grows there will always be plenty of things to be offended by in fact there will seem to be more but that doesn t necessarily mean they re all worse than their predecessors,en,[]
116,a great read on what technological changes might this decade bring hiv vaccine anti aging products cheaper energy ev av supersonic aircrafts space travel ar and more exciting decade ahead,en,[]
117,but real heroes keep doing their job credit or not silently in the background for its own sake,en,[]
118,it is a sad truth that sometimes you get less credit if you do your job well and prevent the problem from happening otoh people who let crisis happen and then come for rescue are heroes we do have a monkey brain,en,[]
119,premature optimization is pretty common hard to argue with not making code even better but it is also something that you come to recognize with experience realizing this can increase mileage especially in early stage startups,en,[]
120,as software engineers we tend to believe if we write good code if will last forever but over time you realize that anything remotely useful a year down the line gets rewritten newer requirements newer people newer frameworks it is a never ending cycle,en,[]
121,good git hacks,en,[]
122,rt a few things i m pretty sure about most jobs would benefit from at least a day month where you did nothing but think,en,"[{'screen_name': 'morganhousel', 'name': 'morgan housel', 'id': '284278132'}]"
123,interesting take on old age but i think this is ahead of its time we will probably have such conversations in,en,[]
124,is it too early to decorate christmas tree kiddo had such a wonderful time,en,[]
125,what is brutal tony was a legend and i grew mustseeindia hearing tales from zappos customer service and inspiring our own team so sad to hear this rip tony,en,[]
126,of course what is regular and what is not is complicated as everything else in life,en,[]
127,you obviously want to hire smart people and let them make decisions but sometimes there is a lot on stake or the things being done have never been done before and micromanagement may be justified it is not ok for regular tasks,en,[]
128,micromanagement has got a bad rep but it is the preferred approach in some cases like inducting new people or people moving to new roles micromanage till they get full context or an incredibly difficult important task to make sure it is done right,en,[]
129,we do virtual coffee sessions on fridays where we chit chat about non work related things it is a hit with the team and stress releaser,en,[]
130,good thread so many of these resonated with me personally,en,[]
131,happy diwali to everyone,tl,[]
132,rt deutsche bank strategists should be taxed for stupidity,en,"[{'screen_name': 'apompliano', 'name': 'pomp ðŸŒª', 'id': '339061487'}]"
133,you ll be even more surprised when a majority of people go back to the same old ways post vaccine people take time to change,en,[]
134,lot of work ahead for india,en,[]
135,my yo daughter has almost never watched linear tv before ipl final yesterday and she was most fascinated by ads she had not seen ads before this she found the ads of kingfisher kya plan hai and cred bollywood hilarious storytelling in secs is an art,en,[]
136,rt from last year but i still find it nuts how much one new yorker spent on their ten year old s piano lessons ten grand fif,en,"[{'screen_name': 'jayelwes', 'name': 'jayelwes', 'id': '415678730'}]"
137,congrats and,en,"[{'screen_name': 'kamalaharris', 'name': 'kamala harris', 'id': '30354991'}, {'screen_name': 'joebiden', 'name': 'joe biden', 'id': '939091'}]"
138,us elections are the highest trp global reality show and it s running for extended duration this time,en,[]
139,wow what a great history lesson,en,[]
140,rt it s easier to fool people than to convince them that they have been fooled attributed to mark twain,en,"[{'screen_name': 'jposhaughnessy', 'name': 'jim oshaughnessy', 'id': '28369153'}]"
141,rt roland garros match wins roland garros titles grand slam titles,en,"[{'screen_name': 'rolandgarros', 'name': 'roland-garros', 'id': '42220353'}, {'screen_name': 'rafaelnadal', 'name': 'rafa nadal', 'id': '344634424'}]"
142,rt investing successful investing is all about behavior and psychology you can have the best model or analysis in the wo,en,"[{'screen_name': 'chamath', 'name': 'chamath palihapitiya', 'id': '3291691'}]"
143,rt do not spoil what you have by desiring what you have not remember that what you now have was once among the things you only,en,"[{'screen_name': 'tferriss', 'name': 'tim ferriss', 'id': '11740902'}]"
144,are you suggesting criticism from media made indian vcs more conservative,en,[]
145,when amazon does not have a hindi song in its library it defaults to but it doesn t stream properly even on a good broadband connection such a,en,"[{'screen_name': 'alexa99', 'name': 'alexa', 'id': '2905440476'}, {'screen_name': 'jiosaavn', 'name': 'jiosaavn', 'id': '14263778'}]"
146,fully agree additionally i think parents contribution is more towards providing the right environment for learning for kids rather than teach kids and it is likely the current generation is over parenting,en,[]
147,unfortunate reality while most people are arguing manufacturing as a reason amp i agree it as one of the reasons i don t see why one can t create brand outside of lowest price usp there are so many angles to play on,en,[]
